Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
34 	     3011	0.5886	0.5886	     3011	0.5886	0.5886	0	0	3	0	0	54.3	10/25	31/33	0	24/30/37	291.571	0 13:27:37	78MB 	0.24773613929748536
35 	     3160	0.5923	0.5923	     3160	0.5923	0.5923	0	0	3	0	0	54.3	10/25	31/34	1	24/31/37	290.949	0 13:22:30	56MB 	0.3211027181148529
36 	     3185	0.6079	0.6079	     3185	0.6079	0.6079	0	0	3	1	1	54.3	0/27	0/35	1	26/31/39	291.133	0 13:17:27	55MB 	0.372583375901592
37 	     3241	0.6263	0.6263	     3241	0.6263	0.6263	0	0	3	0	0	54.3	10/27	1/36	1	25/31/39	290.773	0 13:12:19	55MB 	0.36946770548820496
38 	     3301	0.6259	0.6259	     3301	0.6259	0.6259	0	0	3	0	0	54.3	4/31	2/37	1	24/32/41	291.531	0 13:07:25	66MB 	0.28028733015060425
39 	     3367	0.6074	0.6074	     3367	0.6074	0.6074	0	0	3	0	0	54.3	11/23	3/38	0	23/32/40	292.028	0 13:02:40	47MB 	0.3234224426746368
Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
40 	     3416	0.6171	0.6171	     3416	0.6171	0.6171	0	0	3	0	0	54.3	9/28	4/39	1	25/32/41	291.825	0 12:57:51	76MB 	0.2866781437397003
41 	     3474	0.6165	0.6165	     3474	0.6165	0.6165	0	0	3	0	0	54.3	5/33	5/40	0	26/32/41	289.582	0 12:52:25	60MB 	0.27729495644569396
42 	     3561	0.6081	0.6081	     3561	0.6081	0.6081	0	0	3	0	0	54.3	9/30	6/41	0	29/33/42	329.007	0 12:57:27	35MB 	0.3240050208568573
43 	     3599	0.6037	0.6037	     3599	0.6037	0.6037	0	0	3	0	0	54.3	6/29	7/42	0	31/34/43	289.043	0 12:50:54	29MB 	0.30337628904654057
44 	     3660	0.6063	0.6063	     3660	0.6063	0.6063	0	0	3	0	0	54.3	7/29	8/43	0	28/35/44	288.961	0 12:44:32	29MB 	0.353942209482193
45 	     3679	0.6084	0.6084	     3679	0.6084	0.6084	0	0	3	0	0	54.3	8/29	9/44	0	29/34/44	290.704	0 12:38:46	102MB 	0.35837642431259153
46 	     3768	0.6002	0.6002	     3768	0.6002	0.6002	0	0	3	0	0	54.3	6/34	10/45	0	30/35/46	290.602	0 12:33:04	50MB 	0.3019162166118622
47 	     3815	0.6144	0.6144	     3815	0.6144	0.6144	0	0	3	0	0	54.3	10/26	11/46	0	28/35/46	287.839	0 12:26:46	49MB 	0.3520769902638027
48 	     3850	0.6005	0.6005	     3850	0.6005	0.6005	0	0	3	0	0	54.3	7/32	12/47	0	30/36/47	289.925	0 12:21:08	63MB 	0.3106087458133697
49 	     3944	0.6144	0.6144	     3944	0.6144	0.6144	0	0	3	0	0	54.3	6/31	13/48	0	28/38/49	287.885	0 12:15:05	69MB 	0.3337258927676143
50 	     3778	0.5984	0.5984	     3778	0.5984	0.5984	0	0	3	0	0	54.3	7/29	14/49	0	32/40/46	288.620	0 12:09:21	94MB 	0.32675699433501887
51 	     4018	0.6068	0.6068	     4018	0.6068	0.6068	0	0	3	0	0	54.3	12/25	15/50	0	32/39/48	291.513	0 12:04:26	86MB 	0.3851371932029724
52 	     4018	0.6231	0.6231	     4018	0.6231	0.6231	0	0	3	0	0	54.3	10/25	16/51	0	32/40/46	289.224	0 11:58:57	58MB 	0.3791900718212128
53 	     4161	0.6111	0.6111	     4161	0.6111	0.6111	0	0	3	0	0	54.3	7/27	17/52	0	34/41/47	289.292	0 11:53:34	69MB 	0.3191952431201935
54 	     4137	0.6159	0.6159	     4137	0.6159	0.6159	0	0	3	0	0	54.3	4/33	18/53	0	34/43/49	289.126	0 11:48:12	26MB 	0.2946142899990082
55 	     4300	0.6179	0.6179	     4300	0.6179	0.6179	0	0	3	0	0	54.3	4/37	19/54	0	37/42/50	290.469	0 11:43:12	47MB 	0.36216187715530396
56 	     4351	0.5995	0.5995	     4351	0.5995	0.5995	0	0	2	0	1	52.5	19/29	20/55	0	35/44/50	279.053	0 11:35:30	43MB 	0.37756944447755814
57 	     4339	0.5995	0.5995	     4339	0.5995	0.5995	0	0	2	0	0	50.8	17/33	21/56	0	36/44/51	288.891	0 11:30:27	52MB 	0.3526127278804779
58 	     4473	0.6001	0.6001	     4473	0.6001	0.6001	0	0	3	1	0	50.8	0/29	0/57	0	38/47/52	288.931	0 11:25:26	78MB 	0.2740472900867462
59 	     4524	0.6165	0.6165	     4524	0.6165	0.6165	0	0	4	1	0	52.5	0/37	0/57	0	41/47/54	287.904	0 11:20:12	91MB 	0.3319556665420532
Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
60 	     4520	0.6238	0.6238	     4520	0.6238	0.6238	0	0	4	1	1	54.2	0/35	0/24	2	39/46/54	275.594	0 11:12:09	80MB 	0.3472608303030332
61 	     4646	0.6069	0.6069	     4646	0.6069	0.6069	0	0	4	0	0	56.0	6/29	1/25	1	34/48/55	289.702	0 11:07:44	79MB 	0.32584039568901063
62 	     4710	0.6541	0.6541	     4710	0.6541	0.6541	0	0	4	0	0	57.9	6/20	2/26	2	36/46/51	289.031	0 11:03:07	53MB 	0.32545361638069153
63 	     4755	0.6224	0.6224	     4755	0.6224	0.6224	0	0	4	0	0	59.8	6/24	3/27	1	35/46/53	289.281	0 10:58:32	33MB 	0.22830061279997535
64 	     4806	0.6158	0.6158	     4806	0.6158	0.6158	0	0	4	0	0	61.8	6/21	3/28	0	37/47/54	288.305	0 10:53:42	87MB 	0.29980973078280077
65 	     4852	0.5950	0.5950	     4852	0.5950	0.5950	0	0	4	0	0	63.9	5/31	3/29	0	34/47/54	286.783	0 10:48:32	50MB 	0.2621595737885456
66 	     4926	0.6042	0.6042	     4926	0.6042	0.6042	0	0	4	0	0	66.0	5/31	3/30	0	36/47/55	286.334	0 10:43:18	51MB 	0.3103711629400448
67 	     4987	0.6100	0.6100	     4987	0.6100	0.6100	0	0	4	0	0	68.2	5/29	3/31	0	34/47/56	276.404	0 10:35:55	46MB 	0.23836693357914052
68 	     5030	0.5797	0.5797	     5030	0.5797	0.5797	0	0	4	1	1	70.5	0/32	0/32	0	33/45/55	288.854	0 10:31:34	35MB 	0.24326895451059147
69 	     5102	0.5910	0.5910	     5102	0.5910	0.5910	0	0	4	0	0	72.8	7/29	1/33	1	39/45/51	286.491	0 10:26:40	75MB 	0.2510071846903587
70 	     5102	0.6021	0.6021	     5102	0.6021	0.6021	0	0	3	0	1	72.8	10/27	2/34	0	30/44/51	287.914	0 10:22:04	65MB 	0.2897910962299425
71 	     5219	0.5924	0.5924	     5219	0.5924	0.5924	0	0	3	0	0	72.8	7/24	3/35	0	33/44/52	289.188	0 10:17:44	77MB 	0.2908638596534729
72 	     5270	0.6199	0.6199	     5270	0.6199	0.6199	0	0	3	0	0	72.8	8/22	4/36	1	32/44/53	290.188	0 10:13:33	18MB 	0.33197738766670226
73 	     5335	0.6222	0.6222	     5335	0.6222	0.6222	0	0	3	0	0	72.8	10/22	5/37	1	32/42/51	289.124	0 10:09:05	69MB 	0.34131376385688783
74 	     5408	0.5994	0.5994	     5408	0.5994	0.5994	0	0	3	0	0	72.8	15/19	6/38	1	34/42/51	289.254	0 10:04:36	98MB 	0.31364947915077207
75 	     5408	0.6051	0.6051	     5408	0.6051	0.6051	0	0	3	0	0	72.8	7/26	7/39	0	32/41/50	288.416	0 09:59:55	42MB 	0.2906065130233765
76 	     5408	0.5796	0.5796	     5408	0.5796	0.5796	0	0	3	0	0	72.8	9/26	8/40	0	33/43/50	289.369	0 09:55:24	106MB 	0.30278936862945555
77 	     5565	0.6046	0.6046	     5565	0.6046	0.6046	0	0	3	0	0	72.8	12/22	9/41	0	36/43/52	288.842	0 09:50:45	68MB 	0.22875753164291382
78 	     5657	0.6272	0.6272	     5657	0.6272	0.6272	0	0	3	0	0	72.8	10/26	10/42	1	33/43/52	288.858	0 09:46:05	56MB 	0.24386760592460632
79 	     5657	0.6175	0.6175	     5657	0.6175	0.6175	0	0	3	0	0	72.8	11/27	11/43	0	36/45/54	289.394	0 09:41:31	74MB 	0.32531674146652223
