Gen	Fittest  	F0HANN	Perfor	BestPrf  	F0HANN	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
0 	     1116	0.5117	0.5117	     1116	0.5117	0.5117	0	35	65	65	0	4.0	0/1	0/1	0	58/61/64	2.820	0 00:09:24	6MB 	0.31531499999999996
1 	     1441	0.5136	0.5136	     1441	0.5136	0.5136	0	9	87	75	53	12.3	0/1	0/1	1	56/61/66	0.800	0 00:08:41	11MB 	0.45598910891089106
2 	     1575	0.5118	0.5118	     1575	0.5118	0.5118	0	7	38	10	59	22.8	0/6	0/1	5	57/62/68	0.571	0 00:07:58	5MB 	0.46482323232323236
3 	     1707	0.5149	0.5149	     1707	0.5149	0.5149	0	10	22	0	16	33.0	0/10	0/2	9	58/62/67	0.443	0 00:07:17	13MB 	0.45068299999999994
4 	     1923	0.5114	0.5114	     1923	0.5114	0.5114	0	6	16	0	6	42.9	0/12	0/3	8	58/63/68	0.436	0 00:06:39	19MB 	0.46953979591836725
5 	     2024	0.5136	0.5136	     2024	0.5136	0.5136	0	6	12	0	4	51.5	0/20	0/4	5	54/63/70	0.449	0 00:06:06	25MB 	0.4701656565656564
6 	     2145	0.5132	0.5132	     2145	0.5132	0.5132	0	4	11	0	1	60.5	0/15	0/5	5	55/62/69	0.458	0 00:05:37	31MB 	0.47965700000000006
7 	     2300	0.5140	0.5140	     2300	0.5140	0.5140	0	2	10	0	1	69.6	5/14	3/6	1	53/61/70	0.410	0 00:05:10	9MB 	0.4900589999999998
8 	     2404	0.5143	0.5143	     2404	0.5143	0.5143	0	1	10	0	0	80.0	5/19	4/7	2	55/61/72	0.403	0 00:04:45	15MB 	0.494751
9 	     2569	0.5136	0.5136	     2569	0.5136	0.5136	0	1	10	0	0	92.0	5/22	5/8	1	53/62/73	0.398	0 00:04:23	21MB 	0.49472299999999997
10 	     2692	0.5189	0.5189	     2692	0.5189	0.5189	0	1	8	0	2	101.2	5/31	5/9	1	56/62/73	0.378	0 00:04:02	27MB 	0.49531632653061214
11 	     2879	0.5107	0.5107	     2879	0.5107	0.5107	0	5	5	0	3	103.7	6/54	6/10	1	53/64/74	0.383	0 00:03:44	33MB 	0.4743134020618557
12 	     3008	0.5101	0.5101	     3008	0.5101	0.5101	0	5	5	0	0	106.3	6/43	6/11	0	56/63/72	0.402	0 00:03:28	10MB 	0.4744620000000001
13 	     3119	0.5136	0.5136	     3119	0.5136	0.5136	0	21	5	0	0	109.0	5/31	7/12	0	52/62/71	0.401	0 00:03:14	16MB 	0.3804571428571428
14 	     3198	0.5111	0.5111	     3198	0.5111	0.5111	0	12	4	0	1	109.0	8/43	8/13	1	53/62/69	0.393	0 00:03:01	22MB 	0.43676565656565675
15 	     3325	0.5081	0.5081	     3325	0.5081	0.5081	0	17	4	0	0	109.0	10/32	9/14	0	51/61/71	0.405	0 00:02:49	28MB 	0.41499702970297025
16 	     3503	0.5147	0.5147	     3503	0.5147	0.5147	0	12	4	0	0	109.0	10/35	10/15	0	50/64/72	0.408	0 00:02:39	5MB 	0.44120299999999985
17 	     3607	0.5106	0.5106	     3607	0.5106	0.5106	0	9	4	0	0	109.0	10/36	11/16	0	47/64/72	0.411	0 00:02:30	12MB 	0.454659
18 	     3785	0.7520	0.7520	     3785	0.7520	0.7520	0	2	4	0	0	109.0	12/35	12/17	1	47/63/72	0.407	0 00:02:22	18MB 	0.49255800000000016
19 	     3785	0.7536	0.7536	     3785	0.7536	0.7536	0	1	5	1	0	111.7	0/31	0/18	1	55/64/71	0.404	0 00:02:14	25MB 	0.49626039603960387
Gen	Fittest  	F0HANN	Perfor	BestPrf  	F0HANN	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
20 	     3971	0.7527	0.7527	     3971	0.7527	0.7527	0	1	4	0	1	111.7	19/29	14/19	1	53/62/72	0.406	0 00:02:07	32MB 	0.4954484848484849
21 	     4113	0.7504	0.7504	     4113	0.7504	0.7504	0	8	5	1	0	114.5	0/33	0/20	0	56/63/70	0.394	0 00:02:01	10MB 	0.4647229999999998
22 	     4227	0.7566	0.7566	     4227	0.7566	0.7566	0	6	4	0	1	114.5	14/31	16/21	2	52/62/70	0.407	0 00:01:56	17MB 	0.48232970297029704
23 	     4202	0.7574	0.7574	     4202	0.7574	0.7574	0	9	4	0	0	114.5	10/39	17/22	2	53/61/69	0.410	0 00:01:51	24MB 	0.4703514851485147
24 	     4501	1.0000	1.0000	     4476	1.0000	1.0000	0	5	4	0	0	114.5	23/26	18/23	3	51/60/68	0.398	0 00:01:46	31MB 	0.5098732673267327
25 	     4623	1.0000	1.0000	     4476	1.0000	1.0000	0	8	5	1	0	117.3	0/28	0/24	0	49/59/69	0.587	0 00:01:45	11MB 	0.47542100000000004
26 	     4722	1.0000	1.0000	     4476	1.0000	1.0000	0	9	5	0	0	120.3	0/27	0/25	0	48/60/70	0.403	0 00:01:41	18MB 	0.4998599999999998
27 	     4816	1.0000	1.0000	     4476	1.0000	1.0000	0	17	5	0	0	123.3	0/28	0/26	0	52/60/72	0.403	0 00:01:37	26MB 	0.4654380000000002
28 	     4951	1.0000	1.0000	     4476	1.0000	1.0000	0	9	5	0	0	126.4	0/40	0/27	1	53/61/71	0.406	0 00:01:34	5MB 	0.5276209999999998
